	SRR14729874.clean.fastq.gz.samSYM.counts	SRR14729875.clean.fastq.gz.samSYM.counts	SRR14729876.clean.fastq.gz.samSYM.counts	SRR14729877.clean.fastq.gz.samSYM.counts	SRR14729879.clean.fastq.gz.samSYM.counts	SRR14729880.clean.fastq.gz.samSYM.counts	SRR14729882.clean.fastq.gz.samSYM.counts	SRR14729883.clean.fastq.gz.samSYM.counts	SRR14729884.clean.fastq.gz.samSYM.counts	SRR14729885.clean.fastq.gz.samSYM.counts	SRR14729886.clean.fastq.gz.samSYM.counts	SRR14729887.clean.fastq.gz.samSYM.counts	SRR14729888.clean.fastq.gz.samSYM.counts	SRR14729891.clean.fastq.gz.samSYM.counts	SRR14729892.clean.fastq.gz.samSYM.counts	
evm.model.scaffold_10099.1	4	2	2	10	1	4	3	2	0	0	3	4	2	6	3	
evm.model.scaffold_10102.1	3	5	6	13	6	15	6	6	8	2	3	10	1	6	13	
evm.model.scaffold_10103.2	4	1	2	13	5	15	5	2	5	1	5	6	2	3	13	
evm.model.scaffold_10103.3	0	0	0	3	0	2	1	1	0	1	1	3	0	0	1	
evm.model.scaffold_10109.1	0	4	5	7	5	9	1	4	0	1	0	6	2	1	11	
evm.model.scaffold_10112.3	2	2	5	11	2	15	3	0	5	0	2	8	2	7	8	
evm.model.scaffold_10114.1	2	0	2	1	5	9	9	2	3	2	6	1	0	4	4	
evm.model.scaffold_10114.2	2	4	4	5	1	10	6	3	3	1	2	2	4	0	12	
evm.model.scaffold_10115.1	0	0	0	0	0	0	1	0	1	0	0	3	0	1	0	
evm.model.scaffold_10115.5	0	0	0	5	1	0	1	0	1	0	0	5	0	0	5	
evm.model.scaffold_10116.1	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	
evm.model.scaffold_1012.1	5	4	16	20	6	29	4	5	10	1	1	7	3	5	26	
evm.model.scaffold_1012.2	3	3	17	24	4	27	7	3	10	2	1	6	6	2	20	
evm.model.scaffold_1012.3	0	0	2	7	5	9	5	1	3	0	0	2	0	0	2	
evm.model.scaffold_1012.5	0	3	3	5	2	8	1	0	1	0	1	7	0	3	5	
evm.model.scaffold_10120.1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	
evm.model.scaffold_10121.2	0	1	4	6	0	4	1	0	2	1	0	3	0	1	7	
evm.model.scaffold_10123.1	6	4	10	13	11	24	11	6	5	2	11	8	6	7	24	
evm.model.scaffold_10124.1	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	
evm.model.scaffold_10128.1	0	0	0	1	0	6	2	1	3	0	0	4	0	1	4	
evm.model.scaffold_10128.2	1	0	3	4	1	5	2	0	2	0	0	0	1	0	7	
evm.model.scaffold_1013.1	4	1	4	11	2	9	1	2	9	0	0	2	0	0	9	
evm.model.scaffold_1013.2	9	10	26	33	13	76	13	10	12	2	6	14	4	8	51	
evm.model.scaffold_1013.3	1	2	7	14	2	18	8	1	2	0	0	3	1	2	6	
evm.model.scaffold_10132.1	18	12	30	34	11	46	26	17	13	6	19	14	4	5	45	
evm.model.scaffold_10133.1	1	2	7	18	1	19	1	3	3	1	3	1	2	1	11	
evm.model.scaffold_10133.5	0	0	5	1	0	3	1	0	0	0	0	1	1	0	1	
evm.model.scaffold_10134.1	0	1	10	3	1	5	6	0	4	0	2	2	1	0	10	
evm.model.scaffold_10134.2	0	1	3	5	0	2	1	2	1	0	0	0	0	1	1	
evm.model.scaffold_10135.1	3	3	1	9	0	10	2	8	2	0	1	1	0	3	5	
evm.model.scaffold_10135.2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	
evm.model.scaffold_10135.3	0	0	0	1	0	5	2	0	1	1	0	0	1	0	1	
evm.model.scaffold_10135.4	0	0	1	2	0	2	0	1	0	0	0	4	1	0	0	
evm.model.scaffold_10136.1	0	5	3	5	2	5	1	1	1	0	0	2	0	0	4	
evm.model.scaffold_10136.2	6	12	24	42	13	51	18	11	17	6	11	26	18	9	48	
evm.model.scaffold_10136.3	4	3	16	24	6	28	2	2	6	0	3	12	3	6	22	
evm.model.scaffold_10136.5	1	2	0	1	0	2	1	3	3	1	1	0	0	0	7	
evm.model.scaffold_10136.6	8	12	10	32	17	33	17	9	12	2	9	22	18	13	23	
evm.model.scaffold_10137.1	0	1	1	3	1	6	0	1	4	1	0	2	0	1	4	
evm.model.scaffold_10137.2	1	1	3	1	0	5	1	5	3	0	0	0	0	0	6	
evm.model.scaffold_10137.4	1	1	3	6	2	16	8	3	4	2	1	3	0	1	12	
evm.model.scaffold_1014.3	5	5	18	18	6	33	3	2	13	2	4	14	3	2	26	
evm.model.scaffold_10140.1	0	1	4	5	1	2	1	1	0	0	2	1	1	8	5	
evm.model.scaffold_10140.2	0	2	2	1	1	1	1	1	1	0	0	0	0	1	1	
evm.model.scaffold_10140.6	0	1	2	2	0	5	1	0	2	0	1	4	1	0	2	
evm.model.scaffold_10141.1	0	0	4	2	2	3	3	1	0	0	0	0	0	0	7	
evm.model.scaffold_10144.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_10144.2	0	0	1	2	0	4	1	0	0	0	0	0	0	1	4	
evm.model.scaffold_10145.1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_1015.1	1	0	2	3	1	3	1	0	2	0	1	1	0	1	5	
evm.model.scaffold_1015.2	12	9	20	45	8	39	17	14	13	2	7	21	7	9	35	
