	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.23246_t	66	20	46	28	37	52	49	35	18	26	21	24	27	14	40	
Porites_compressa_HIv1___RNAseq.23297_t	5	0	4	3	7	14	14	3	4	13	45	4	6	3	1	
Porites_compressa_HIv1___RNAseq.23306_t	13	4	21	8	12	16	10	17	18	20	23	21	8	7	23	
Porites_compressa_HIv1___RNAseq.23389_t	1	1	6	3	3	6	1	0	0	2	6	0	3	0	6	
Porites_compressa_HIv1___RNAseq.23408_t	240	86	151	209	157	303	266	103	224	206	200	189	103	103	160	
Porites_compressa_HIv1___RNAseq.23454_t	3029	575	2542	3445	2526	2201	1872	1239	2232	1415	2462	1373	1818	1954	1917	
Porites_compressa_HIv1___RNAseq.23482_t	102	30	95	93	80	80	67	59	120	68	149	62	90	49	74	
Porites_compressa_HIv1___RNAseq.23494_t	152	41	106	82	215	125	54	62	60	193	161	129	97	126	65	
Porites_compressa_HIv1___RNAseq.23521_t	109	201	208	781	101	170	291	107	709	291	541	203	517	128	888	
Porites_compressa_HIv1___RNAseq.23572_t	230	101	208	133	152	233	159	97	291	126	208	141	104	78	167	
Porites_compressa_HIv1___RNAseq.23577_t	14	0	3	1	0	1	0	0	1	0	0	1	0	1	5	
Porites_compressa_HIv1___RNAseq.23602_t	36	119	38	0	342	14	0	8	3	56	0	32	147	0	181	
Porites_compressa_HIv1___RNAseq.23603_t	4	36	4	0	126	6	9	11	16	12	10	55	41	0	91	
Porites_compressa_HIv1___RNAseq.23619_t	1	1	15	0	0	2	1	0	0	0	0	0	2	0	0	
Porites_compressa_HIv1___RNAseq.23622_t	0	0	1	9	2	2	1	2	0	1	3	5	6	1	1	
Porites_compressa_HIv1___RNAseq.23656_t	148	85	66	96	119	107	103	33	67	63	120	56	48	52	54	
Porites_compressa_HIv1___RNAseq.23725_t	207	24	129	166	184	326	157	110	123	124	136	192	109	206	363	
Porites_compressa_HIv1___RNAseq.23819_t	110	29	11	224	43	292	14	38	130	40	59	43	26	30	219	
Porites_compressa_HIv1___RNAseq.23881_t	274	96	227	489	298	560	329	232	278	169	371	216	184	307	497	
Porites_compressa_HIv1___RNAseq.23917_t	176	62	239	309	227	383	269	91	236	134	262	205	100	155	225	
